provider_id,provider_name,provider_type,specialty,state,network_status,quality_score
PRV-000001,Synthetic Provider Group 001,Clinic,Oncology,IL,Out-of-Network,68.6
PRV-000002,Synthetic Provider Group 002,Hospital,Radiology,TX,In-Network,95.4
PRV-000003,Synthetic Provider Group 003,Physician,Primary Care,VA,In-Network,66.9
PRV-000004,Synthetic Provider Group 004,Imaging Center,Cardiology,OH,In-Network,79.7
PRV-000005,Synthetic Provider Group 005,Specialist,Dermatology,CO,In-Network,68.3
PRV-000006,Synthetic Provider Group 006,Clinic,General Surgery,TX,In-Network,87.1
PRV-000007,Synthetic Provider Group 007,Physician,Primary Care,TX,In-Network,82.2
PRV-000008,Synthetic Provider Group 008,Physician,Emergency Medicine,WA,In-Network,67.0
PRV-000009,Synthetic Provider Group 009,Hospital,Cardiology,NY,In-Network,82.9
PRV-000010,Synthetic Provider Group 010,Laboratory,Primary Care,FL,In-Network,80.9
PRV-000011,Synthetic Provider Group 011,Laboratory,Oncology,GA,Out-of-Network,66.5
PRV-000012,Synthetic Provider Group 012,Imaging Center,Primary Care,AZ,In-Network,80.9
PRV-000013,Synthetic Provider Group 013,Hospital,Emergency Medicine,MI,In-Network,69.8
PRV-000014,Synthetic Provider Group 014,Imaging Center,Radiology,CA,In-Network,86.6
PRV-000015,Synthetic Provider Group 015,Specialist,Cardiology,VA,In-Network,96.6
PRV-000016,Synthetic Provider Group 016,Laboratory,Orthopedics,CA,In-Network,82.3
PRV-000017,Synthetic Provider Group 017,Imaging Center,Dermatology,CO,In-Network,74.9
PRV-000018,Synthetic Provider Group 018,Imaging Center,Dermatology,PA,In-Network,66.5
PRV-000019,Synthetic Provider Group 019,Specialist,Orthopedics,AZ,In-Network,86.6
PRV-000020,Synthetic Provider Group 020,Laboratory,Oncology,NC,In-Network,74.9
PRV-000021,Synthetic Provider Group 021,Imaging Center,Cardiology,AZ,In-Network,88.7
PRV-000022,Synthetic Provider Group 022,Specialist,Emergency Medicine,NC,In-Network,77.8
PRV-000023,Synthetic Provider Group 023,Clinic,Primary Care,NC,In-Network,89.8
PRV-000024,Synthetic Provider Group 024,Specialist,Primary Care,FL,In-Network,76.1
PRV-000025,Synthetic Provider Group 025,Specialist,Cardiology,OH,Out-of-Network,79.9
PRV-000026,Synthetic Provider Group 026,Hospital,Cardiology,CO,In-Network,93.5
PRV-000027,Synthetic Provider Group 027,Imaging Center,Cardiology,FL,In-Network,83.0
PRV-000028,Synthetic Provider Group 028,Imaging Center,Dermatology,GA,Out-of-Network,80.3
PRV-000029,Synthetic Provider Group 029,Physician,Cardiology,WA,Out-of-Network,67.2
PRV-000030,Synthetic Provider Group 030,Physician,Dermatology,OH,In-Network,93.9
PRV-000031,Synthetic Provider Group 031,Physician,Dermatology,MI,In-Network,70.7
PRV-000032,Synthetic Provider Group 032,Laboratory,Primary Care,CO,In-Network,80.0
PRV-000033,Synthetic Provider Group 033,Clinic,Primary Care,NY,Out-of-Network,95.6
PRV-000034,Synthetic Provider Group 034,Physician,Emergency Medicine,MI,Out-of-Network,83.0
PRV-000035,Synthetic Provider Group 035,Imaging Center,Oncology,FL,In-Network,85.5
PRV-000036,Synthetic Provider Group 036,Hospital,Primary Care,AZ,In-Network,72.9
